1,0.0,2920,日暮里,にっぽり
2,1.2,935,三河島,みかわしま
2,3.4,936,南千住,みなみせんじゅ
2,5.2,937,北千住,きたせんじゅ
2,7.7,938,綾瀬,あやせ
2,9.9,939,亀有,かめあり
2,11.8,940,金町,かなまち
2,15.7,941,松戸,まつど
2,17.8,942,北松戸,きたまつど
2,19.1,943,馬橋,まばし
2,20.7,944,新松戸,しんまつど
2,22.0,945,北小金,きたこがね
2,24.5,946,南柏,みなみかしわ
2,26.9,947,柏,かしわ
2,29.2,948,北柏,きたかしわ
2,31.3,949,我孫子,あびこ
2,34.0,950,天王台,てんのうだい
2,37.4,951,取手,とりで
1,43.4,952,藤代,ふじしろ
1,45.5,953,佐貫,さぬき
1,50.6,954,牛久,うしく
1,54.5,955,ひたち野うしく,ひたちのうしく
1,57.2,956,荒川沖,あらかわおき
1,63.8,957,土浦,つちうら
1,69.9,958,神立,かんだつ
1,76.4,959,高浜,たかはま
1,80.0,960,石岡,いしおか
1,86.5,961,羽鳥,はとり
1,91.9,962,岩間,いわま
1,98.8,963,友部,ともべ
1,103.5,964,内原,うちはら
1,109.3,965,赤塚,あかつか
1,113.4,966,偕楽園（臨）,かいらくえん
1,115.3,967,水戸,みと
1,121.1,968,勝田,かつた
1,125.3,969,佐和,さわ
1,130.0,970,東海,とうかい
1,137.4,971,大甕,おおみか
1,142.0,972,常陸多賀,ひたちたが
1,146.9,973,日立,ひたち
1,152.4,974,小木津,おぎつ
1,156.6,975,十王,じゅうおう
1,162.5,976,高萩,たかはぎ
1,167.0,977,南中郷,みなみなかごう
1,171.6,978,磯原,いそはら
1,178.7,979,大津港,おおつこう
1,183.2,980,勿来,なこそ
1,187.8,981,植田,うえだ
1,195.0,982,泉,いずみ
1,201.5,983,湯本,ゆもと
1,205.0,984,内郷,うちごう
1,209.4,985,いわき,いわき
1,214.8,986,草野,くさの
1,219.2,987,四ツ倉,よつくら
1,224.0,988,久ノ浜,ひさのはま
1,227.6,989,末続,すえつぎ
1,232.4,990,広野,ひろの
1,235.9,1000004,Jヴィレッジ,ジェイビレッジ
1,237.8,991,木戸,きど
1,240.9,992,竜田,たつた
1,247.8,993,富岡,とみおか
1,253.0,994,夜ノ森,よのもり
1,257.9,995,大野,おおの
1,263.7,996,双葉,ふたば
1,268.6,997,浪江,なみえ
